주문일자,주문번호,매장코드,매장명,지역,채널,상품코드,카테고리,상품명,색상,사이즈,수량,정상가,할인율,판매단가,매출액,고객ID,성별,연령,회원등급,결제수단,주문상태
2025-01-04,O100032,S016,여주아울렛,경기,아울렛,SKU00043,아우터,트렌치코트,BEIGE,XL,1,329000,50,164000,164000,C83920,F,30,SILVER,간편결제,정상
2025-01-04,O100032,S016,여주아울렛,경기,아울렛,SKU00042,아우터,트렌치코트,BROWN,M,1,329000,30,230000,230000,C83920,F,30,SILVER,간편결제,정상
2025-01-04,O100033,S101,공식몰,온라인,온라인,SKU00063,원피스,미니 원피스,KHAKI,XS,1,129000,0,129000,129000,C59192,M,45,SILVER,카드,정상
2025-01-04,O100033,S101,공식몰,온라인,온라인,SKU00031,상의,후드티,WHITE,XL,1,89000,0,89000,89000,C59192,M,45,SILVER,카드,정상
2025-01-04,O100034,S104,SSF샵입점,온라인,온라인,SKU00028,상의,크롭 티,BROWN,L,2,39000,10,35000,70000,C76317,F,20,VIP,상품권,정상
2025-01-04,O100035,S015,제주연동점,제주,오프라인,SKU00120,신발,부츠,BROWN,260,1,259000,0,259000,259000,C67080,F,35,SILVER,상품권,정상
2025-01-04,O100035,S015,제주연동점,제주,오프라인,SKU00063,원피스,미니 원피스,KHAKI,XS,1,129000,0,129000,129000,C67080,F,35,SILVER,상품권,정상
2025-01-04,O100036,S015,제주연동점,제주,오프라인,SKU00047,아우터,패딩,GREY,L,1,459000,20,367000,367000,C97580,M,25,비회원,간편결제,정상
2025-01-04,O100036,S015,제주연동점,제주,오프라인,SKU00072,하의,치노 팬츠,WHITE,XL,1,79000,0,79000,79000,C97580,M,25,비회원,간편결제,정상
2025-01-04,O100037,S017,파주아울렛,경기,아울렛,SKU00122,신발,부츠,BLACK,265,1,259000,30,181000,181000,C21221,F,35,비회원,카드,정상
2025-01-04,O100037,S017,파주아울렛,경기,아울렛,SKU00057,아우터,바람막이,WHITE,L,1,119000,40,71000,71000,C21221,F,35,비회원,카드,정상
2025-01-04,O100037,S017,파주아울렛,경기,아울렛,SKU00095,가방,토트백,DENIM_BLUE,FREE,1,229000,50,114000,114000,C21221,F,35,비회원,카드,정상
2025-01-04,O100038,S018,김해아울렛,부산,아울렛,SKU00050,아우터,블레이저,DENIM_BLUE,M,1,259000,50,129000,129000,C69473,F,25,SILVER,카드,정상
2025-01-04,O100039,S006,분당현대점,경기,오프라인,SKU00026,상의,크롭 티,NAVY,S,1,39000,0,39000,39000,C73464,F,35,비회원,현금,정상
2025-01-04,O100040,S001,강남플래그십,서울,오프라인,SKU00033,상의,맨투맨,RED,L,1,79000,0,79000,79000,C26591,F,20,일반,현금,정상
2025-01-04,O100040,S001,강남플래그십,서울,오프라인,SKU00121,신발,부츠,NAVY,265,1,259000,0,259000,259000,C26591,F,20,일반,현금,정상
2025-01-04,O100041,S009,인천신세계점,인천,오프라인,SKU00019,데님,데님 셔츠,BEIGE,XL,1,89000,0,89000,89000,C72616,F,40,VIP,상품권,정상
2025-01-04,O100041,S009,인천신세계점,인천,오프라인,SKU00145,액세서리,양말 세트,GREY,FREE,2,19000,0,19000,38000,C72616,F,40,VIP,상품권,정상
2025-01-04,O100041,S009,인천신세계점,인천,오프라인,SKU00031,상의,후드티,WHITE,XL,1,89000,0,89000,89000,C72616,F,40,VIP,상품권,정상
2025-01-04,O100042,S102,무신사입점,온라인,온라인,SKU00110,가방,클러치,GREY,FREE,1,99000,0,99000,99000,C78494,M,30,비회원,현금,정상
2025-01-04,O100043,S004,잠실롯데점,서울,오프라인,SKU00062,원피스,미니 원피스,RED,S,-1,129000,0,129000,-129000,C37235,F,25,일반,카드,반품
2025-01-04,O100043,S004,잠실롯데점,서울,오프라인,SKU00116,신발,스니커즈,KHAKI,265,1,159000,0,159000,159000,C37235,F,25,일반,카드,정상
2025-01-04,O100043,S004,잠실롯데점,서울,오프라인,SKU00073,하의,치노 팬츠,BEIGE,L,1,79000,0,79000,79000,C37235,F,25,일반,카드,정상
2025-01-04,O100044,S103,29CM입점,온라인,온라인,SKU00069,원피스,니트 원피스,BLACK,S,1,119000,0,119000,119000,C35928,M,20,SILVER,카드,정상
2025-01-04,O100044,S103,29CM입점,온라인,온라인,SKU00146,액세서리,양말 세트,DENIM_BLUE,FREE,2,19000,0,19000,38000,C35928,M,20,SILVER,카드,정상
2025-01-04,O100045,S010,부산서면점,부산,오프라인,SKU00011,데님,데님 자켓,KHAKI,L,1,159000,0,159000,159000,C45683,M,30,비회원,카드,정상
2025-01-04,O100045,S010,부산서면점,부산,오프라인,SKU00024,상의,로고 티셔츠,DENIM_BLUE,S,2,49000,20,39000,78000,C45683,M,30,비회원,카드,정상
2025-01-04,O100046,S101,공식몰,온라인,온라인,SKU00133,액세서리,모자,IVORY,FREE,1,49000,0,49000,49000,C98117,F,30,일반,상품권,정상
2025-01-04,O100046,S101,공식몰,온라인,온라인,SKU00112,가방,클러치,RED,FREE,1,99000,0,99000,99000,C98117,F,30,일반,상품권,정상
2025-01-04,O100046,S101,공식몰,온라인,온라인,SKU00121,신발,부츠,NAVY,255,1,259000,0,259000,259000,C98117,F,30,일반,상품권,정상
2025-01-04,O100046,S101,공식몰,온라인,온라인,SKU00042,아우터,트렌치코트,BROWN,M,1,329000,0,329000,329000,C98117,F,30,일반,상품권,정상
2025-01-04,O100047,S013,광주충장로점,광주,오프라인,SKU00083,하의,미니 스커트,GREY,XS,3,69000,0,69000,207000,C82102,F,30,GOLD,현금,정상
2025-01-04,O100047,S013,광주충장로점,광주,오프라인,SKU00001,데님,청바지 슬림핏,WHITE,XL,1,89000,0,89000,89000,C82102,F,30,GOLD,현금,정상
2025-01-04,O100048,S012,대구동성로점,대구,오프라인,SKU00141,액세서리,지갑,DENIM_BLUE,FREE,1,99000,0,99000,99000,C75338,M,35,SILVER,현금,정상
2025-01-04,O100048,S012,대구동성로점,대구,오프라인,SKU00125,신발,샌들,BLACK,235,1,129000,10,116000,116000,C75338,M,35,SILVER,현금,정상
2025-01-05,O100049,S006,분당현대점,경기,오프라인,SKU00119,신발,로퍼,BEIGE,235,1,189000,0,189000,189000,C11792,M,30,SILVER,카드,정상
2025-01-05,O100050,S010,부산서면점,부산,오프라인,SKU00117,신발,로퍼,GREY,270,1,189000,0,189000,189000,C45838,M,40,비회원,카드,정상
2025-01-05,O100051,S017,파주아울렛,경기,아울렛,SKU00130,액세서리,벨트,RED,FREE,1,79000,30,55000,55000,C27892,F,25,VIP,간편결제,정상
2025-01-05,O100051,S017,파주아울렛,경기,아울렛,SKU00077,하의,조거 팬츠,DENIM_BLUE,XL,1,89000,50,44000,44000,C27892,F,25,VIP,간편결제,정상
2025-01-05,O100052,S005,여의도IFC점,서울,오프라인,SKU00117,신발,로퍼,GREY,255,2,189000,10,170000,340000,C73483,F,25,비회원,간편결제,정상
2025-01-05,O100053,S013,광주충장로점,광주,오프라인,SKU00099,가방,토트백,GREY,FREE,3,229000,20,183000,549000,C63841,F,25,비회원,간편결제,정상
2025-01-05,O100054,S005,여의도IFC점,서울,오프라인,SKU00113,신발,스니커즈,BLACK,235,-1,159000,0,159000,-159000,C14852,F,30,GOLD,카드,반품
2025-01-05,O100055,S005,여의도IFC점,서울,오프라인,SKU00102,가방,백팩,BLACK,FREE,1,169000,20,135000,135000,C95823,F,20,SILVER,간편결제,정상
2025-01-05,O100056,S104,SSF샵입점,온라인,온라인,SKU00018,데님,데님 셔츠,DENIM_BLUE,S,1,89000,0,89000,89000,C59808,F,35,비회원,카드,정상
2025-01-05,O100056,S104,SSF샵입점,온라인,온라인,SKU00024,상의,로고 티셔츠,DENIM_BLUE,L,3,49000,20,39000,117000,C59808,F,35,비회원,카드,정상
2025-01-05,O100056,S104,SSF샵입점,온라인,온라인,SKU00026,상의,크롭 티,NAVY,L,1,39000,0,39000,39000,C59808,F,35,비회원,카드,정상
2025-01-05,O100057,S002,명동점,서울,오프라인,SKU00063,원피스,미니 원피스,KHAKI,XL,1,129000,10,116000,116000,C17355,F,25,VIP,카드,정상
2025-01-05,O100058,S006,분당현대점,경기,오프라인,SKU00037,상의,폴로셔츠,KHAKI,S,1,69000,0,69000,69000,C89887,M,35,SILVER,상품권,정상
2025-01-05,O100059,S104,SSF샵입점,온라인,온라인,SKU00114,신발,스니커즈,GREY,255,3,159000,0,159000,477000,C70981,F,35,일반,카드,정상
2025-01-05,O100060,S014,대전둔산점,대전,오프라인,SKU00028,상의,크롭 티,BROWN,S,1,39000,0,39000,39000,C69878,F,25,VIP,상품권,정상
2025-01-05,O100060,S014,대전둔산점,대전,오프라인,SKU00076,하의,조거 팬츠,IVORY,XS,3,89000,10,80000,240000,C69878,F,25,VIP,상품권,정상
2025-01-05,O100061,S001,강남플래그십,서울,오프라인,SKU00059,원피스,미니 원피스,BEIGE,XL,1,129000,0,129000,129000,C99889,F,45,비회원,현금,정상
2025-01-05,O100061,S001,강남플래그십,서울,오프라인,SKU00065,원피스,롱 원피스,BEIGE,S,1,159000,10,143000,143000,C99889,F,45,비회원,현금,정상
2025-01-05,O100062,S010,부산서면점,부산,오프라인,SKU00076,하의,조거 팬츠,IVORY,M,1,89000,0,89000,89000,C14373,M,25,일반,카드,정상
2025-01-05,O100062,S010,부산서면점,부산,오프라인,SKU00139,액세서리,선글라스,WHITE,FREE,2,119000,0,119000,238000,C14373,M,25,일반,카드,정상
2025-01-05,O100063,S009,인천신세계점,인천,오프라인,SKU00030,상의,후드티,DENIM_BLUE,L,2,89000,0,89000,178000,C43681,M,50,SILVER,간편결제,정상
2025-01-05,O100063,S009,인천신세계점,인천,오프라인,SKU00058,아우터,바람막이,NAVY,L,2,119000,20,95000,190000,C43681,M,50,SILVER,간편결제,정상
2025-01-05,O100063,S009,인천신세계점,인천,오프라인,SKU00024,상의,로고 티셔츠,DENIM_BLUE,L,1,49000,0,49000,49000,C43681,M,50,SILVER,간편결제,정상
2025-01-05,O100064,S012,대구동성로점,대구,오프라인,SKU00060,원피스,미니 원피스,NAVY,L,1,129000,0,129000,129000,C98125,F,30,GOLD,카드,정상
2025-01-05,O100064,S012,대구동성로점,대구,오프라인,SKU00057,아우터,바람막이,WHITE,XS,1,119000,0,119000,119000,C98125,F,30,GOLD,카드,정상
2025-01-05,O100065,S010,부산서면점,부산,오프라인,SKU00127,신발,샌들,NAVY,235,1,129000,0,129000,129000,C25292,F,20,일반,현금,정상
2025-01-05,O100065,S010,부산서면점,부산,오프라인,SKU00117,신발,로퍼,GREY,255,1,189000,10,170000,170000,C25292,F,20,일반,현금,정상
2025-01-05,O100066,S018,김해아울렛,부산,아울렛,SKU00072,하의,치노 팬츠,WHITE,XS,1,79000,30,55000,55000,C30253,M,35,비회원,간편결제,정상
2025-01-06,O100067,S012,대구동성로점,대구,오프라인,SKU00102,가방,백팩,BLACK,FREE,1,169000,0,169000,169000,C99873,F,30,GOLD,카드,정상
2025-01-06,O100068,S015,제주연동점,제주,오프라인,SKU00063,원피스,미니 원피스,KHAKI,S,1,129000,0,129000,129000,C37801,M,50,일반,간편결제,정상
2025-01-06,O100069,S018,김해아울렛,부산,아울렛,SKU00071,원피스,니트 원피스,DENIM_BLUE,S,3,119000,50,59000,177000,C38305,F,25,일반,카드,정상
2025-01-06,O100070,S006,분당현대점,경기,오프라인,SKU00005,데님,청바지 슬림핏,DENIM_BLUE,S,1,89000,0,89000,89000,C13379,F,20,SILVER,간편결제,정상
2025-01-06,O100071,S017,파주아울렛,경기,아울렛,SKU00116,신발,스니커즈,KHAKI,270,1,159000,50,79000,79000,C18330,M,30,GOLD,카드,정상
2025-01-06,O100072,S104,SSF샵입점,온라인,온라인,SKU00110,가방,클러치,GREY,FREE,1,99000,0,99000,99000,C70036,F,20,비회원,간편결제,정상
2025-01-06,O100073,S015,제주연동점,제주,오프라인,SKU00071,원피스,니트 원피스,DENIM_BLUE,XL,1,119000,0,119000,119000,C20589,F,35,일반,카드,정상
2025-01-06,O100074,S013,광주충장로점,광주,오프라인,SKU00030,상의,후드티,DENIM_BLUE,XL,1,89000,0,89000,89000,C79541,F,30,VIP,카드,정상
2025-01-06,O100074,S013,광주충장로점,광주,오프라인,SKU00059,원피스,미니 원피스,BEIGE,L,1,129000,0,129000,129000,C79541,F,30,VIP,카드,정상
2025-01-06,O100074,S013,광주충장로점,광주,오프라인,SKU00025,상의,로고 티셔츠,KHAKI,M,1,49000,10,44000,44000,C79541,F,30,VIP,카드,정상
2025-01-06,O100074,S013,광주충장로점,광주,오프라인,SKU00040,상의,폴로셔츠,BLACK,L,1,69000,20,55000,55000,C79541,F,30,VIP,카드,정상
2025-01-06,O100075,S014,대전둔산점,대전,오프라인,SKU00032,상의,후드티,BROWN,L,1,89000,10,80000,80000,C58843,F,30,비회원,간편결제,정상
2025-01-06,O100076,S014,대전둔산점,대전,오프라인,SKU00148,액세서리,양말 세트,IVORY,FREE,1,19000,0,19000,19000,C16743,F,35,GOLD,카드,정상
2025-01-06,O100076,S014,대전둔산점,대전,오프라인,SKU00058,아우터,바람막이,NAVY,XS,1,119000,0,119000,119000,C16743,F,35,GOLD,카드,정상
2025-01-06,O100076,S014,대전둔산점,대전,오프라인,SKU00072,하의,치노 팬츠,WHITE,XL,1,79000,0,79000,79000,C16743,F,35,GOLD,카드,정상
2025-01-06,O100077,S102,무신사입점,온라인,온라인,SKU00047,아우터,패딩,GREY,M,1,459000,0,459000,459000,C94239,M,20,SILVER,카드,정상
2025-01-06,O100077,S102,무신사입점,온라인,온라인,SKU00090,하의,반바지,IVORY,XS,1,49000,0,49000,49000,C94239,M,20,SILVER,카드,정상
2025-01-07,O100078,S003,홍대점,서울,오프라인,SKU00097,가방,토트백,RED,FREE,1,229000,0,229000,229000,C92991,F,20,비회원,카드,정상
2025-01-07,O100079,S010,부산서면점,부산,오프라인,SKU00041,아우터,트렌치코트,GREY,XL,1,329000,0,329000,329000,C84395,M,20,일반,카드,정상
2025-01-07,O100079,S010,부산서면점,부산,오프라인,SKU00109,가방,클러치,WHITE,FREE,1,99000,0,99000,99000,C84395,M,20,일반,카드,정상
2025-01-07,O100080,S007,수원AK점,경기,오프라인,SKU00135,액세서리,선글라스,NAVY,FREE,1,119000,0,119000,119000,C24918,F,30,SILVER,상품권,정상
2025-01-07,O100080,S007,수원AK점,경기,오프라인,SKU00015,데님,데님 스커트,BLACK,XS,1,79000,0,79000,79000,C24918,F,30,SILVER,상품권,정상
2025-01-07,O100081,S009,인천신세계점,인천,오프라인,SKU00034,상의,맨투맨,GREY,L,1,79000,0,79000,79000,C25726,F,30,VIP,카드,정상
2025-01-07,O100082,S104,SSF샵입점,온라인,온라인,SKU00005,데님,청바지 슬림핏,DENIM_BLUE,L,2,89000,20,71000,142000,C19447,M,40,일반,간편결제,정상
2025-01-07,O100082,S104,SSF샵입점,온라인,온라인,SKU00110,가방,클러치,GREY,FREE,1,99000,10,89000,89000,C19447,M,40,일반,간편결제,정상
2025-01-07,O100083,S010,부산서면점,부산,오프라인,SKU00023,상의,로고 티셔츠,NAVY,L,1,49000,0,49000,49000,C12733,F,25,비회원,간편결제,정상
2025-01-07,O100084,S013,광주충장로점,광주,오프라인,SKU00044,아우터,트렌치코트,KHAKI,XS,1,329000,0,329000,329000,C61873,F,35,SILVER,간편결제,정상
2025-01-07,O100085,S007,수원AK점,경기,오프라인,SKU00027,상의,크롭 티,BEIGE,S,1,39000,0,39000,39000,C55793,F,35,일반,카드,정상
2025-01-07,O100085,S007,수원AK점,경기,오프라인,SKU00020,데님,데님 셔츠,IVORY,S,2,89000,10,80000,160000,C55793,F,35,일반,카드,정상
2025-01-07,O100085,S007,수원AK점,경기,오프라인,SKU00145,액세서리,양말 세트,GREY,FREE,1,19000,0,19000,19000,C55793,F,35,일반,카드,정상
2025-01-07,O100086,S101,공식몰,온라인,온라인,SKU00113,신발,스니커즈,BLACK,235,1,159000,10,143000,143000,C91857,F,40,GOLD,카드,정상
2025-01-07,O100086,S101,공식몰,온라인,온라인,SKU00071,원피스,니트 원피스,DENIM_BLUE,XL,1,119000,0,119000,119000,C91857,F,40,GOLD,카드,정상
2025-01-07,O100087,S015,제주연동점,제주,오프라인,SKU00130,액세서리,벨트,RED,FREE,1,79000,0,79000,79000,C17456,F,40,일반,카드,정상
2025-01-07,O100088,S002,명동점,서울,오프라인,SKU00016,데님,데님 스커트,BEIGE,L,1,79000,20,63000,63000,C84928,F,25,비회원,카드,정상
2025-01-07,O100089,S003,홍대점,서울,오프라인,SKU00135,액세서리,선글라스,NAVY,FREE,1,119000,0,119000,119000,C32617,F,25,비회원,상품권,정상
2025-01-07,O100090,S010,부산서면점,부산,오프라인,SKU00085,하의,롱 스커트,DENIM_BLUE,XS,1,99000,0,99000,99000,C54350,M,20,GOLD,카드,정상
2025-01-07,O100091,S104,SSF샵입점,온라인,온라인,SKU00080,하의,조거 팬츠,NAVY,L,1,89000,10,80000,80000,C88997,F,25,일반,간편결제,정상
2025-01-07,O100091,S104,SSF샵입점,온라인,온라인,SKU00080,하의,조거 팬츠,NAVY,XL,1,89000,20,71000,71000,C88997,F,25,일반,간편결제,정상
2025-01-07,O100091,S104,SSF샵입점,온라인,온라인,SKU00033,상의,맨투맨,RED,XL,1,79000,10,71000,71000,C88997,F,25,일반,간편결제,정상
2025-01-07,O100091,S104,SSF샵입점,온라인,온라인,SKU00093,가방,크로스백,NAVY,FREE,1,189000,0,189000,189000,C88997,F,25,일반,간편결제,정상
2025-01-08,O100092,S011,부산센텀시티,부산,오프라인,SKU00020,데님,데님 셔츠,IVORY,M,1,89000,0,89000,89000,C73736,F,25,일반,카드,정상
2025-01-08,O100092,S011,부산센텀시티,부산,오프라인,SKU00139,액세서리,선글라스,WHITE,FREE,1,119000,0,119000,119000,C73736,F,25,일반,카드,정상
2025-01-08,O100092,S011,부산센텀시티,부산,오프라인,SKU00087,하의,롱 스커트,NAVY,XL,1,99000,0,99000,99000,C73736,F,25,일반,카드,정상
2025-01-08,O100093,S006,분당현대점,경기,오프라인,SKU00094,가방,크로스백,KHAKI,FREE,1,189000,0,189000,189000,C91885,F,35,일반,간편결제,정상
2025-01-08,O100093,S006,분당현대점,경기,오프라인,SKU00073,하의,치노 팬츠,BEIGE,L,1,79000,0,79000,79000,C91885,F,35,일반,간편결제,정상
2025-01-08,O100093,S006,분당현대점,경기,오프라인,SKU00121,신발,부츠,NAVY,245,1,259000,0,259000,259000,C91885,F,35,일반,간편결제,정상
2025-01-08,O100094,S015,제주연동점,제주,오프라인,SKU00036,상의,맨투맨,BROWN,M,1,79000,0,79000,79000,C60052,M,30,일반,카드,정상
2025-01-08,O100094,S015,제주연동점,제주,오프라인,SKU00142,액세서리,지갑,BEIGE,FREE,2,99000,10,89000,178000,C60052,M,30,일반,카드,정상
2025-01-08,O100095,S004,잠실롯데점,서울,오프라인,SKU00112,가방,클러치,RED,FREE,1,99000,0,99000,99000,C31012,F,30,비회원,카드,정상
2025-01-08,O100096,S012,대구동성로점,대구,오프라인,SKU00099,가방,토트백,GREY,FREE,3,229000,0,229000,687000,C64381,F,30,GOLD,카드,정상
2025-01-08,O100096,S012,대구동성로점,대구,오프라인,SKU00082,하의,미니 스커트,KHAKI,XS,1,69000,10,62000,62000,C64381,F,30,GOLD,카드,정상
2025-01-08,O100096,S012,대구동성로점,대구,오프라인,SKU00038,상의,폴로셔츠,WHITE,S,1,69000,20,55000,55000,C64381,F,30,GOLD,카드,정상
2025-01-08,O100097,S005,여의도IFC점,서울,오프라인,SKU00066,원피스,롱 원피스,BROWN,S,1,159000,0,159000,159000,C71487,M,35,일반,카드,정상
2025-01-08,O100097,S005,여의도IFC점,서울,오프라인,SKU00136,액세서리,선글라스,RED,FREE,1,119000,20,95000,95000,C71487,M,35,일반,카드,정상
2025-01-08,O100098,S010,부산서면점,부산,오프라인,SKU00029,상의,크롭 티,BLACK,L,1,39000,0,39000,39000,C41252,M,35,비회원,카드,정상
2025-01-08,O100099,S101,공식몰,온라인,온라인,SKU00147,액세서리,양말 세트,BROWN,FREE,1,19000,10,17000,17000,C28818,F,30,GOLD,카드,정상
2025-01-08,O100100,S017,파주아울렛,경기,아울렛,SKU00100,가방,백팩,KHAKI,FREE,2,169000,30,118000,236000,C18870,M,30,비회원,카드,정상
2025-01-08,O100100,S017,파주아울렛,경기,아울렛,SKU00096,가방,토트백,WHITE,FREE,1,229000,30,160000,160000,C18870,M,30,비회원,카드,정상
2025-01-08,O100100,S017,파주아울렛,경기,아울렛,SKU00018,데님,데님 셔츠,DENIM_BLUE,M,1,89000,50,44000,44000,C18870,M,30,비회원,카드,정상
2025-01-08,O100100,S017,파주아울렛,경기,아울렛,SKU00086,하의,롱 스커트,KHAKI,S,1,99000,50,49000,49000,C18870,M,30,비회원,카드,정상
